application_number,ticker,sponsor_name,brand_name,approval_date,pct_change_day3,direction,volatility_30d,generic_name,is_priority_review,filing_found,filing_text,phase_num,enrollment,phase,primary_endpoint,trial_found,approval_year,approval_month,approval_quarter
BLA761106,RHHBY,GENENTECH INC,HERCEPTIN HYLECTA,2026-05-18,1.66,1,-0.26554476794332155,TRASTUZUMAB AND HYALURONIDASE-OYSK,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,UNKNOWN,,-1.2139539573337683,2026,-0.26512919772100724,-0.24198875709123052
NDA219878,AZN,ASTRAZENECA PHARMS,BAXFENDY,2026-05-15,-0.17,0,-0.2821002704728155,BAXDROSTAT,1.7078251276599332,-0.8606629658238706,,0.7699437326835237,1.1608412103932244,PHASE3,Change from baseline in ambulatory 24-hour average SBP,0.8237544710479143,2026,-0.26512919772100724,-0.24198875709123052
NDA213535,RHHBY,GENENTECH INC,EVRYSDI,2026-02-10,2.63,1,0.07580724607581966,RISDIPLAM,-0.5855400437691198,1.1618950038622253,"8-K filing found for Genentech Inc, filed on 2026-02-12",-0.45674628210039553,0.3814093168057808,PHASE1,Percentage of Participants with Adverse Events (AEs),0.8237544710479143,2026,-1.1345063344340771,-1.11687118657491
NDA219884,ACAD,ACADIA PHARMS INC,DAYBUE STIX,2025-12-11,1.68,1,1.2856216385489203,TROFINETIDE,-0.5855400437691198,-0.8606629658238706,,0.1565987252915641,1.2358560153045857,PHASE2,"Reduced incidence, compared to placebo, of adverse events (AEs) and serious adverse events (SAEs)",0.8237544710479143,2025,1.7634174546094892,1.5077761018761282
NDA218160,LLY,ELI LILLY AND CO,RETEVMO,2025-11-20,1.96,1,0.28920486766361797,SELPERCATINIB,-0.5855400437691198,-0.8606629658238706,,-0.45674628210039553,0.09136917640702824,PHASE1,"Pharmacokinetics (PK): Area Under the Concentration-time Curve, From Time 0 to the Last Observed Non-zero Concentration (AUC0-t) of Midazolam and Its Metabolite 1-hydroxymidazolam (1-OH-midazolam)",0.8237544710479143,2025,1.4736250757051326,1.5077761018761282
NDA219208,NVS,NOVARTIS,VANRAFIA,2025-04-02,-3.43,0,-0.24407873500253696,ATRASENTAN HYDROCHLORIDE,-0.5855400437691198,1.1618950038622253,"8-K filing found for Novartis, filed on 2025-04-01",0.7699437326835237,1.8123273084689557,PHASE3,Compare Survival Between a Control or Standard Therapy Arm of Docetaxel + Placebo + Prednisone With Docetaxel + Atrasentan + Prednisone in Patients With Hormone Refractory Prostate Cancer.,0.8237544710479143,2025,-0.5549215766253639,-0.24198875709123052
NDA209299,RIGL,RIGEL PHARMS,TAVALISSE,2025-02-04,15.26,1,4.676974241455078,FOSTAMATINIB DISODIUM,-0.5855400437691198,-0.8606629658238706,,0.7699437326835237,0.7234605281682578,PHASE3,"Number of Participants With Stable Platelet Response (Count of ≥50,000/µL on at Least 4 of the Last 6 Scheduled Visits Between Weeks 14 and 24)",0.8237544710479143,2025,-1.1345063344340771,-1.11687118657491
NDA219209,VRTX,VERTEX PHARMS INC,JOURNAVX,2025-01-30,6.53,1,-0.329942866765675,SUZETRIGINE,1.7078251276599332,-0.8606629658238706,,-0.45674628210039553,0.42795051285774954,PHASE1,Maximum Observed Plasma Concentration (Cmax) of Midazolam in the Absence and Presence of VX-548,0.8237544710479143,2025,-1.4242987133384337,-1.11687118657491
NDA204353,JNJ,JANSSEN PHARMS,INVOKAMET,2024-12-18,-1.33,0,-0.7377974926405797,CANAGLIFLOZIN,1.7078251276599332,-0.8606629658238706,,1.3832887400754834,2.3313807351859417,PHASE4,21 Day Organ Support (Respiratory or Vasopressor) Free Days,0.8237544710479143,2024,1.7634174546094892,1.5077761018761282
BLA761113,SNY,SANOFI AVENTIS US,SARCLISA,2024-10-25,3.42,1,-0.774696621159706,ISATUXIMAB-IRFC,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,UNKNOWN,,-1.2139539573337683,2024,1.183832696800776,1.5077761018761282
NDA214770,MRK,MSD MERCK CO,NOXAFIL POWDERMIX KIT,2024-10-25,-2.03,0,-0.7174538666509472,POSACONAZOLE,-0.5855400437691198,-0.8606629658238706,,1.3832887400754834,0.8876532590936717,PHASE4,Time to Failure,0.8237544710479143,2024,1.183832696800776,1.5077761018761282
NDA021366,AZN,ASTRAZENECA,CRESTOR,2024-07-31,5.02,1,-0.7376571917716855,ROSUVASTATIN CALCIUM,-0.5855400437691198,1.1618950038622253,"8-K filing found for Astrazeneca, filed on 2024-08-07",1.3832887400754834,0.9295321286694088,PHASE4,Infarct size measured by cardiac MRI,0.8237544710479143,2024,0.31445556008770603,0.6328936723924489
NDA022427,ABBV,ABBVIE,ACUVAIL,2024-05-24,-2.19,0,-0.2788733504882532,KETOROLAC TROMETHAMINE,-0.5855400437691198,1.1618950038622253,"8-K filing found for Abbvie, filed on 2024-05-23",1.3832887400754834,0.4597460156691429,PHASE4,The incidence of CME was evaluated by retinal foveal thickness on optical coherence tomography (OCT),0.8237544710479143,2024,-0.26512919772100724,-0.24198875709123052
NDA211675,ABBV,ABBVIE,RINVOQ,2024-04-26,-2.78,0,-0.13267984510068834,UPADACITINIB,-0.5855400437691198,1.1618950038622253,"8-K filing found for Abbvie, filed on 2024-04-26",0.7699437326835237,1.6115310657126158,PHASE3,Percentage of Participants With an American College of Rheumatology 20% (ACR20) Response at Week 12,0.8237544710479143,2024,-0.5549215766253639,-0.24198875709123052
NDA022425,SNY,SANOFI AVENTIS US,MULTAQ,2023-10-23,2.0,1,-0.7953208488871262,DRONEDARONE HYDROCHLORIDE,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,0.5343321115415286,,Peak Plasma Concentration (Cmax),0.8237544710479143,2023,1.183832696800776,1.5077761018761282
BLA761151,UCBJY,UCB INC,BIMZELX,2023-10-17,-8.9,0,-0.1538652763036846,BIMEKIZUMAB-BKZX,-0.5855400437691198,1.1618950038622253,"8-K filing found for Ucb Inc, filed on 2023-10-10",-1.070091289492355,-1.094159119943904,UNKNOWN,,-1.2139539573337683,2023,1.183832696800776,1.5077761018761282
NDA212725,RHHBY,GENENTECH INC,ROZLYTREK,2023-08-31,-4.85,0,-0.444288074914298,ENTRECTINIB,-0.5855400437691198,1.1618950038622253,"8-K filing found for Genentech Inc, filed on 2023-08-29",0.1565987252915641,1.2212294572627727,PHASE2,Confirmed Objective Response Rate (ORR) Assessed by Investigator According to Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1) or Response Assessment in Neuro-Oncology (RANO) Criteria for Primary Central Nervous System (CNS) Tumors,0.8237544710479143,2023,0.6042479389920627,0.6328936723924489
NDA205879,JNJ,JANSSEN PHARMS,INVOKAMET XR,2023-07-05,-2.51,0,-1.1114187065053445,CANAGLIFLOZIN,-0.5855400437691198,-0.8606629658238706,,1.3832887400754834,2.3313807351859417,PHASE4,21 Day Organ Support (Respiratory or Vasopressor) Free Days,0.8237544710479143,2023,0.31445556008770603,0.6328936723924489
